ref,x1,y1,x2,y2,angCONN,axCONN,axid,axLEN,axref,CONN,segLEN,CH,INT,NC,TD,NACH,NAIN
629,422289.53983,563698.533617,422296.16569,563638.529343,2.4642785,4,610,60.368988,609,4,60.368988,345352,1289.6649,8597,57308.227,1.16393111203484,0.918299152335778
630,422289.53983,563698.533617,422304.858963,563775.939984,2.1480293,4,611,78.907677,610,4,78.907677,330282,1282.7371,8597,57617.738,1.1592889086736,0.913366403614522
631,422144.777676,563577.477069,422163.588688,563543.9896,5.8078394,6,612,38.409176,611,6,38.409176,217134,1113.9182,8597,66349.945,1.10677821588368,0.793163378620943
632,422163.588688,563543.9896,422314.299179,563511.955368,1.9320281,3,613,154.07739,612,3,154.07739,0,1042.9146,8597,70867.172,0,0.742606854137805
633,423116.410543,563526.287993,423121.280573,563457.749936,3.008847,4,614,68.710861,613,4,68.710861,371402,1397.6244,8597,52881.453,1.17922053851904,0.995168240513172
634,423121.280573,563457.749936,423124.307398,563416.678833,1.8358371,4,615,41.182487,614,4,41.182487,372942,1397.6587,8597,52880.156,1.17960366179021,0.995192648239815
635,423124.307398,563416.678833,423129.054013,563352.291104,2.1541719,4,616,64.562454,615,4,64.562454,310665,1396.5811,8597,52920.957,1.16272184480555,0.994425403596988
636,423237.585183,563374.426829,423258.40692,563370.772624,1.3963648,2,617,21.139961,616,2,21.139961,0,1215.1472,8597,60822.594,0,0.865241005542446
637,423200.397322,563368.571083,423237.585183,563374.426829,5.103775,6,618,37.646072,617,6,37.646072,59396,1251.7665,8597,59043.289,1.00053904814561,0.891314680063147
638,423129.054013,563352.291102,423200.397322,563368.571083,4.1733379,6,619,73.177223,618,6,73.177223,51903,1236.446,8597,59774.879,0.987158138111644,0.880406166308399
639,423199.374865,563341.50117,423200.397322,563368.571083,3.8403692,6,620,27.089216,619,6,27.089216,131276,1352.5201,8597,54644.961,1.08033957550889,0.963053240495313
640,423199.374865,563341.50117,423206.432413,563271.193825,2.1499183,4,621,70.660683,620,4,70.660683,142119,1364.8555,8597,54151.09,1.08852061202078,0.971836193913792
641,423206.432413,563271.193825,423212.947085,563212.529733,5.1696706,6,622,59.024712,621,6,59.024712,159420,1365.424,8597,54128.543,1.09910215213527,0.97224099293205
642,423235.710386,563586.427491,423240.928297,563554.637794,3.0636113,5,623,32.21508,622,5,32.21508,233932,1365.8086,8597,54113.297,1.13431636453499,0.972514904136459
643,423218.121783,563644.093928,423235.710386,563586.427491,2.1915016,4,624,60.289093,623,4,60.289112,220282,1354.1168,8597,54580.527,1.12791038821162,0.964190112969138
644,423197.923487,563710.315019,423218.121783,563644.093928,1.8797357,4,625,69.232986,624,4,69.232971,191517,1354.1586,8597,54578.844,1.11508462031598,0.964219843765535
645,423174.437993,563782.228157,423197.923487,563710.315019,2.1125054,4,626,75.650963,625,4,75.650963,156158,1352.5116,8597,54645.305,1.09624969731898,0.963047178159491
646,423164.724883,563811.301172,423174.437993,563782.228157,2.0238857,4,627,30.652645,626,4,30.652645,169335,1352.0314,8597,54664.715,1.10363998784979,0.96270523799118
647,423154.816042,563846.148818,423164.724883,563811.301172,2.867878,4,628,36.229042,627,4,36.229042,163988,1348.2152,8597,54819.445,1.10041369364682,0.959988064420247
